STEER_DEG | ENERGY (Var) | RAW_MUSIC_PEAK | TWO_WAY_PEAK
------------------------------------------------------------
      -60 |     0.000030 |          -28.0 |        -60.0
      -59 |     0.000025 |           -2.0 |        -49.0
      -58 |     0.000025 |          -32.0 |        -60.0
      -57 |     0.000024 |          -10.0 |        -60.0
      -56 |     0.000059 |          -28.0 |        -58.0
      -55 |     0.000026 |           27.0 |        -60.0
      -54 |     0.000034 |           39.0 |        -57.0
      -53 |     0.000020 |          -32.0 |        -58.0
      -52 |     0.000047 |          -33.0 |        -57.0
      -51 |     0.000022 |          -33.0 |        -33.0
      -50 |     0.000022 |          -60.0 |        -60.0
      -49 |     0.000022 |            9.0 |        -59.0
      -48 |     0.000040 |            8.0 |        -58.0
      -47 |     0.000020 |           -5.0 |        -52.0
      -46 |     0.000028 |          -32.0 |        -32.0
      -45 |     0.000027 |          -34.0 |        -34.0
      -44 |     0.000048 |          -33.0 |        -33.0
      -43 |     0.000024 |           21.0 |        -39.0
      -42 |     0.000022 |            8.0 |        -36.0
      -41 |     0.000024 |            8.0 |        -35.0
      -40 |     0.000133 |          -12.0 |        -46.0
      -39 |     0.000085 |          -42.0 |        -42.0
      -38 |     0.000057 |           17.0 |        -26.0
      -37 |     0.000047 |          -59.0 |        -33.0
      -36 |     0.000030 |            8.0 |        -34.0
      -35 |     0.000058 |            7.0 |        -37.0
      -34 |     0.000025 |           -8.0 |        -34.0
      -33 |     0.000067 |          -60.0 |        -35.0
      -32 |     0.000030 |            8.0 |        -35.0
      -31 |     0.000035 |          -60.0 |        -34.0
      -30 |     0.000023 |            8.0 |        -33.0
      -29 |     0.000044 |            8.0 |        -34.0
      -28 |     0.000024 |            9.0 |        -32.0
      -27 |     0.000048 |           -8.0 |        -35.0
      -26 |     0.000045 |           -6.0 |        -21.0
      -25 |     0.000120 |            8.0 |        -33.0
      -24 |     0.000052 |           -9.0 |         -9.0
      -23 |     0.000124 |            8.0 |        -22.0
      -22 |     0.000058 |            7.0 |        -19.0
      -21 |     0.000141 |            8.0 |        -22.0
      -20 |     0.000063 |          -20.0 |        -20.0
      -19 |     0.000126 |            7.0 |        -21.0
      -18 |     0.000073 |            8.0 |        -20.0
      -17 |     0.000136 |            9.0 |        -21.0
      -16 |     0.000098 |           40.0 |        -20.0
      -15 |     0.000117 |            8.0 |        -21.0
      -14 |     0.000091 |            8.0 |         -8.0
      -13 |     0.000095 |           55.0 |        -20.0
      -12 |     0.000091 |           58.0 |        -20.0
      -11 |     0.000093 |          -36.0 |         -7.0
      -10 |     0.000093 |           -6.0 |         -6.0
       -9 |     0.000077 |           -6.0 |         -6.0
       -8 |     0.000103 |            8.0 |         -6.0
       -7 |     0.000077 |            7.0 |         -6.0
       -6 |     0.000090 |          -37.0 |         -7.0
       -5 |     0.000063 |          -38.0 |          4.0
       -4 |     0.000049 |           -5.0 |         -5.0
       -3 |     0.000069 |           -7.0 |         -7.0
       -2 |     0.000084 |           -7.0 |         -7.0
       -1 |     0.000059 |            5.0 |          4.0
        0 |     0.000072 |            7.0 |          6.0
        1 |     0.000062 |          -37.0 |          6.0
        2 |     0.000055 |          -34.0 |          8.0
        3 |     0.000035 |           -5.0 |         -5.0
        4 |     0.000034 |          -35.0 |          7.0
        5 |     0.000045 |          -33.0 |          8.0
        6 |     0.000023 |           -5.0 |         -4.0
        7 |     0.000038 |           29.0 |          8.0
        8 |     0.000024 |          -33.0 |          9.0
        9 |     0.000031 |            8.0 |          8.0
       10 |     0.000027 |           -4.0 |          8.0
       11 |     0.000033 |          -33.0 |          9.0
       12 |     0.000036 |            9.0 |          9.0
       13 |     0.000033 |            9.0 |          9.0
       14 |     0.000084 |          -32.0 |          9.0
       15 |     0.000023 |            9.0 |          9.0
       16 |     0.000057 |          -57.0 |          9.0
       17 |     0.000063 |          -58.0 |         19.0
       18 |     0.000071 |           -8.0 |         20.0
       19 |     0.000055 |          -52.0 |         25.0
       20 |     0.000065 |          -58.0 |         24.0
       21 |     0.000020 |          -60.0 |         10.0
       22 |     0.000037 |          -33.0 |          9.0
       23 |     0.000072 |          -59.0 |          8.0
       24 |     0.000038 |            7.0 |          8.0
       25 |     0.000118 |          -57.0 |         27.0
       26 |     0.000039 |          -59.0 |         22.0
       27 |     0.000081 |          -56.0 |         28.0
       28 |     0.000029 |          -60.0 |         38.0
       29 |     0.000059 |          -59.0 |         28.0
       30 |     0.000034 |          -56.0 |         35.0
       31 |     0.000072 |          -57.0 |         33.0
       32 |     0.000046 |          -57.0 |         45.0
       33 |     0.000051 |          -57.0 |         44.0
       34 |     0.000040 |            8.0 |         43.0
       35 |     0.000070 |            9.0 |         28.0
       36 |     0.000047 |            9.0 |         44.0
       37 |     0.000043 |            8.0 |         46.0
       38 |     0.000037 |            8.0 |         44.0
       39 |     0.000041 |            8.0 |         49.0
       40 |     0.000053 |          -33.0 |         44.0
       41 |     0.000044 |            9.0 |         46.0
       42 |     0.000049 |           10.0 |         58.0
       43 |     0.000046 |            8.0 |         45.0
       44 |     0.000040 |          -34.0 |         43.0
       45 |     0.000047 |            6.0 |         51.0
       46 |     0.000045 |            5.0 |         49.0
       47 |     0.000037 |            7.0 |         52.0
       48 |     0.000044 |            7.0 |         52.0
       49 |     0.000037 |            7.0 |         53.0
       50 |     0.000055 |            7.0 |         54.0
       51 |     0.000051 |          -34.0 |         54.0
       52 |     0.000065 |          -44.0 |         56.0
       53 |     0.000074 |            2.0 |         49.0
       54 |     0.000068 |            8.0 |         57.0
       55 |     0.000062 |          -34.0 |         55.0
       56 |     0.000059 |           21.0 |         52.0
       57 |     0.000078 |            7.0 |         54.0
       58 |     0.000064 |          -19.0 |         55.0
       59 |     0.000076 |          -58.0 |         53.0
       60 |     0.000064 |           22.0 |         55.0
